Report generated on: 03-22-2025 17:03:28
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","total energy consumption from coal (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4411-2-WORL-QBTU.A","    World","78.84551590296132","79.16573957089994","80.57297556605094","82.71340258340673","86.47313143805454","89.50989853927152","90.50805258289422","94.07382785251428","96.85974931807364","96.94528118156437","95.8463240916115","92.69230954547504","90.37591722278871","90.38471736712545","90.78894488052775","93.40090802401005","95.45775844606715","93.93882047693587","93.37181922110808","93.7740282851289","98.66587352261215","99.74737615962056","102.19299557404439","110.61984254164662","120.25290862482035","128.34395806523816","135.54184378193227","142.12851655494748","144.53871706895876","145.53167576842546","157.7405244411596","166.29631219774373","171.39874729572713","173.62325557908292","172.56743573294767","168.62188152774155","164.19104540957355","162.68962527970177","166.12131651452813","166.90456078125786","160.93475125203338","166.82922759654284","170.2198889415386","173.8086710460686"
"INTL.4411-2-AFG-QBTU.A","        Afghanistan","0.0024792482148388983","0.0026042523630414455","0.0030209327940489256","0.0030209327940489256","0.0030834347736486832","0.003145936942251473","0.0033334430700537776","0.0034792812114562443","0.002875094652646459","0.002645920349441284","0.0021875719320339653","0.001958397817831822","0.0001666721346023857","0.00014583814140246647","0.00012500414820254722","0.00010417015500262799","0.0000625019795997577","0.00004166798639983847","0.00004166798639983847","0.000020833993199919235","0.000020833993199919235","0.0005416845792100274","0.0004375144242073994","0.0007291907070123324","0.0007083567138124131","0.000687522531609462","0.0007291907070123324","0.002121249182718404","0.0035133076584244758","0.0061791981463600095","0.010345138034720047","0.01311095586332185","0.015876773691923654","0.017724885330577957","0.014260950993795742","0.013874090678426449","0.01976828101013371","0.021566236110377404","0.023364191210621096","0.025162146310862898","0.020746989064083933","0.0348761046166648","0.030549207901274772","0.009931516023224136"
"INTL.4411-2-ALB-QBTU.A","        Albania","0.024317314523581157","0.025770486274170428","0.029070074678547934","0.03146270929689194","0.03399786552216729","0.03624797855457778","0.03566855295477164","0.03728748741744574","0.03748799283170988","0.037114723556503436","0.0323729108406639","0.018421887913981944","0.005235004867496884","0.00346567005147178","0.002812873657954107","0.002119844522281322","0.0016644755738027901","0.0012322476809671853","0.0007539568362326312","0.000903445437828665","0.001097810109219184","0.0012482907293259941","0.0009488268187999082","0.0009487671567268229","0.0009029321443912289","0.0008190919058261814","0.0016219843773081727","0.0023592009372752805","0.002858482393398624","0.003923002211637058","0.0035249441657845544","0.0033113416915863596","0.0029688882665851292","0.002642520161491151","0.003339683613892591","0.002822255337070553","0.0022553832305981774","0.002603889761162839","0.0034145211808809675","0.004093169855767595","0.004619878905744029","0.006673565257618547","0.007252404247338317","0.005731082418090972"
"INTL.4411-2-DZA-QBTU.A","        Algeria","0.0025473980424690033","0.007655064470875166","0.020475800605753863","0.03321382392874011","0.03423572313878258","0.03424213176739014","0.034610210701987144","0.035079318419173874","0.03559990774375128","0.03608188568764816","0.03357205507090017","0.031062224454152184","0.02879372989294415","0.022609952034421812","0.0230486401245533","0.013759894437390835","0.014334635692372302","0.015455785974182614","0.017403198878388797","0.017394738350332926","0.016194828745719557","0.015033806089122739","0.008672037882191936","0.010163583658412866","0.010488812111000351","0.010358057343138027","0.00685784480284846","0.007011925594248236","0.0071719145526483565","0.00456791240735962","0.000046554578705383786","0.000054955601161265284","0.0004334178297892882","0.0012596214769158304","0.0008353278614203434","0.0005769222932545153","0.0005752187520015624","0.000924225066126768","0.00041041788252525746","0.0004054356405179378","0.0006584371102343829","0.0009410900745231739","0.0004984314084402423","0.00006837127535339659"
"INTL.4411-2-ASM-QBTU.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-2-AGO-QBTU.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-2-ATA-QBTU.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-2-ATG-QBTU.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-2-ARG-QBTU.A","        Argentina","0.059209115738444125","0.05100064762708765","0.054181969637209566","0.04902316775403324","0.038002631455733495","0.053120067936031856","0.06806208346147431","0.072483771447062","0.06922604502932406","0.07958394130488196","0.07123483377228121","0.056531257313934005","0.055898036769715505","0.04699001080959574","0.057884087773442734","0.05361200312596454","0.05506654976694705","0.05332140381837966","0.05389333147590262","0.05350899289265299","0.0462012161041116","0.044493775687522934","0.04133966201906195","0.050477762344638986","0.062345169676868435","0.06532077725936984","0.06245425038417825","0.0730879151608949","0.0857358621435863","0.05788322692726214","0.06843382393146977","0.07067634142648212","0.07094647781725158","0.07907106210682953","0.07702158164937101","0.07518055004598777","0.06518263235116277","0.06819662683023262","0.06351900351015809","0.043613605110813004","0.04903533068078747","0.07445259841777659","0.05708830219602258","0.04204056790718837"
