Report generated on: 03-22-2025 16:43:03
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","coal and coke CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4002-8-WORL-MMTCD.A","    World","1117.538985","1151.600346","1166.858975","1052.386511","1057.069608","904.191799","1037.883229","1054.597765","1003.746034","887.188523","885.131027","915.20039","895.367315","922.086003","968.730285","1018.939941","1075.146471","1127.040292","1106.890376","1145.758543","1148.256664","1134.441275","1076.124032","1121.253602","1206.273733","1185.238653","1180.732528","1265.646355","1299.544892","1298.097603","1409.790188","7493.968156027763","7520.288294626726","7653.489606210475","7857.702588932168","8213.542707225697","8505.796832504464","8604.799640360845","8939.581898630793","9207.777931112114","9218.272335370784","9103.84704034542","8814.015914418","8587.796991683055","8584.71957979112","8618.43054507736","8864.709408074881","9063.489634978107","8922.333957737615","8869.542605256755","8912.90258885311","9378.466328441522","9480.487420904527","9717.677381686239","10518.20700184561","11437.291514020844","12206.099835677629","12883.600109596322","13508.168813360706","13754.941967101668","13870.641812842714","15011.301229667395","15813.066586911244","16298.559872001015","16490.716929501094","16396.901402573178","16016.842678426194","15599.280359388666","15695.535125204395","15886.230499213949","15864.37848540632","15288.684822928692","15849.036631972785","16169.830992427982","16651.635050146015"
"INTL.4002-8-AFG-MMTCD.A","        Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2313138584444692","0.24297674547176684","0.2818530296847648","0.2818530296847648","0.28768446438142214","0.2935159167120624","0.31101023843601744","0.32461693702886757","0.26824633109191465","0.24686436860287178","0.20410046125876896","0.18271851640370898","0.015550510158402586","0.013606698592850122","0.011662887027297657","0.009719075461745191","0.005831434696657394","0.0038876231311049296","0.0038876231311049296","0.0019438115655524648","0.0019438115655524648","0.050539171240295555","0.040820095778550364","0.06803349296425061","0.06608968139869814","0.06414585219916281","0.06803349296425061","0.1979125487476271","0.3277916045310036","0.5765191870553888","0.9652013786393803","1.2232521820479285","1.4813029854564768","1.6537318013429232","1.3305467277211427","1.2944526602971878","1.8443806182454752","2.0121298290982117","2.179879039950948","2.3476282508035085","1.935694079679031","3.2539405607348257","2.8546138073958254","0.9297996748149043"
"INTL.4002-8-ALB-MMTCD.A","        Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.379753098919158","2.5220151238087323","2.8387607890497923","3.0703312922126327","3.3157548954572644","3.533472300393471","3.4772349211892024","3.6392864863609695","3.658262642313658","3.624401110371459","3.130702975677201","1.7798171919233805","0.5023715125149439","0.33217651314596564","0.2698347963492977","0.20507288667137238","0.1613095783693886","0.11902266282299423","0.072893643184318","0.08756395834625731","0.1061991291589934","0.12050317736467527","0.09164902827792647","0.09189605620346715","0.08721592695472927","0.07917794677681964","0.15348832144569313","0.22199633124741036","0.2694819378687711","0.36690699987268427","0.32997327378360214","0.30933648801027264","0.27731551776351104","0.2467157108686455","0.3115977020617652","0.2641770030799899","0.2116665180786183","0.24628291584122203","0.32425870751775737","0.3899371667899761","0.4380937964708137","0.6360252917437168","0.6860105203505265","0.565907048535775"
"INTL.4002-8-DZA-MMTCD.A","        Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.237672237362358","0.714217515132653","1.9103921965168353","3.098849772551452","3.1941929688484145","3.1947908938975","3.2291326584954003","3.272900408508922","3.3293181510061522","3.3699629690925015","3.136276186336495","2.8988870146652372","2.687475377076457","2.1107678078482515","2.150592493381486","1.2844319320923743","1.4431295561997366","1.5370154480326272","1.7045100918305958","1.6895217443985149","1.6438877112332413","1.6712003672664604","1.080030514972979","1.147744565526467","1.1657894477239945","1.2514522634862215","0.9704014796178339","1.1245624194500456","1.1530319361988526","1.1596179417871089","1.0998774436506722","1.4079356144051138","1.3887992445235853","0.9822674996421996","0.8337871136914249","0.5553737443596439","0.377619957632559","0.9563677169196072","0.9568506172156428","1.1626574801131424","0.7733028489573591","1.1624553632663948","0.4996311296072893","0.7407287612015503"
"INTL.4002-8-ASM-MMTCD.A","        American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4002-8-AGO-MMTCD.A","        Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007597566374159692","0.009344647161122675"
"INTL.4002-8-ATA-MMTCD.A","        Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0024259792678621986"
"INTL.4002-8-ATG-MMTCD.A","        Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2029117789409037e-7"
"INTL.4002-8-ARG-MMTCD.A","        Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.734661977930409","4.941832330185189","5.226177065997646","4.689830776415421","3.5501773415531144","4.958839560494152","6.352786464791494","6.767058864236461","6.4693618750161965","7.433071552056551","6.650678232680208","5.277296447635925","5.216164998066034","4.386223758240596","5.418593153073696","5.001184323124659","5.155305842139991","4.978821017828522","5.0729587251130575","4.9987067215706755","4.324149001757789","4.136124664916485","3.9480344906919047","4.733890691286472","6.267874282919703","6.4521206666341735","6.0562544075572005","7.124745574965848","8.31548989016635","5.5943949533715305","6.423003090930681","6.634234602064233","6.795459360299374","7.500713497213669","7.263132110552082","7.04651824053469","6.130086640407659","6.333718559647731","6.008920196087312","4.1467876323381905","4.565813513163053","7.259467779345143","5.6605299791599215","5.021636091168923"
