Report generated on: 03-22-2025 16:43:44
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","consumed natural gas CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4010-8-WORL-MMTCD.A","    World","269.537229","312.826758","369.725933","396.144693","414.852766","437.259069","472.164274","504.395476","534.718185","559.789329","615.214424","650.165364","678.658772","721.046984","756.340573","802.669334","827.517342","891.737381","941.907241","1008.297454","1085.46723","1144.349535","1179.62356","1191.847277","1176.064903","1135.378681","1043.574103","1063.895862","1042.126381","1046.300303","1081.593377","2842.337165239","2843.874298181","2854.97311412","2913.476944206","3214.469613122","3349.517700309","3395.116049334","3571.676242214","3753.118806616","3925.341385303","3971.958025298","4055.906399638","4075.491754392","4181.691129489","4174.75467229","4297.390278663","4396.182316834","4422.460435481","4456.588039317","4571.850603326","4736.163826731","4754.981620364","4974.681563292","5119.268510389","5279.489805772","5429.202966814","5630.349601392","5811.117852225","5978.147381183","5782.11737159","6324.816534711","6513.89466993","6662.056920043","6759.120315845","6783.647503147","6883.268116663","7023.602020587","7227.343140778","7589.299664344","7717.215427704","7620.641524998","7972.282770851","7909.294092399","7964.287275674"
"INTL.4010-8-AFG-MMTCD.A","        Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11110066","0.16665099","0.27775165","0.27775165","0.27775165","0","0","1.22210726","3.8885231","3.77742244","3.721960809","0.61105363","0.588527971","0.588527971","0.588277995","0.39218533","0.451204778","0.451204778","0.451204778","0.451204778","0.451204778","0.098087995","0.098087995","0.039235198","0.039235198","0.039235198","0.039235198","0.078470396","0.098087995","0.058852797","0.278371366","0.316625359","0.314467441","0.30308933","0.278371366","0.286806862","0.324276157","0.324276157","0.318251809","0.267356448","0.166604406","NA","NA","NA"
"INTL.4010-8-ALB-MMTCD.A","        Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5555033","0.61105363","0.5555033","0.61105363","0.61105363","0.5555033","0.77770462","0.88880528","1.38875825","1.38875825","0.500067221","0.2769558","0.199518958","0.058659238","0.05871463","0.05871463","0.058684164","0.039122776","0.058684164","0.039122776","0.058684164","0.058684164","0.058684164","0.058684164","0.058684164","0.058684164","0.058684164","0.019336545","0.05649194","0.05649194","0.018587066","0.018587066","0.031598012","0.035315426","0.059478612","0.065054731","0.083641087","0.092934541","0.079780155","0.144845436","0.10362543","0.109606279","0.094092198","0.092890996"
"INTL.4010-8-DZA-MMTCD.A","        Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.799158667","21.661975867","34.621597267","41.070104533","42.572669333","36.562410133","37.689333733","41.070104533","44.576089067","41.320532","42.6352762","48.520321667","45.703012667","41.013320105","43.224406815","46.452416861","45.569527818","42.570976868","44.028019231","44.999380807","43.415639108","43.162240436","43.098890768","43.331172884","40.712719941","50.605826421","54.058383325","52.645867478","55.06952347","57.22056791","57.347919292","65.426772599","71.324733487","65.562083443","77.813684383","78.840454902","79.132962623","82.131664226","89.160554488","92.048394311","88.935475727","97.386887836","101.856747805","105.124986718"
"INTL.4010-8-ASM-MMTCD.A","        American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4010-8-AGO-MMTCD.A","        Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.511063036","0.488842904","0.5555033","0.66660396","0.66660396","0.72215429","0.77770462","0.88880528","0.99990594","0.83325495","1.055407096","1.1110066","1.118203145","1.098585546","1.019904059","1.098585546","1.098585546","1.118203145","1.137820744","1.098585546","1.118203145","1.039732749","1.21629114","1.275143938","1.471319928","1.275143938","1.333996735","1.62826072","1.333996735","1.353614334","1.439931769","1.475243448","1.490937527","0.800398041","0.453166538","1.516440406","1.575292703","1.594910135","2.26481584","2.538155683","2.401485762","2.323388664","2.616252781","2.440534311"
"INTL.4010-8-ATA-MMTCD.A","        Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4010-8-ATG-MMTCD.A","        Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4010-8-ARG-MMTCD.A","        Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.54257426","19.70588268","24.82287984","24.44182686","31.13747208","31.46408892","34.0225875","32.9338647","38.81296782","43.60334814","39.005671756","43.291398816","43.644024034","46.189745242","47.481872711","52.846655116","56.018737956","55.881677081","59.738961728","63.361284875","65.02559551","61.129150612","59.269038726","67.708072651","74.228254314","79.182025968","81.766602484","85.995909509","86.955335639","84.46865975","84.762361626","90.323117159","90.930101038","91.386317953","92.17931302","92.007007919","94.824563988","96.042437425","96.334919434","100.03821642","93.074409999","91.782617745","91.993016738","90.121643189"
