Report generated on: 03-22-2025 16:44:10
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","petroleum and other liquids CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4006-8-WORL-MMTCD.A","    World","819.614615","917.619072","990.102419","1024.84276","1064.970514","1080.801692","1174.738643","1218.049517","1218.098173","1256.210693","1306.825723","1348.642779","1368.764546","1421.790194","1459.446041","1495.143873","1559.077356","1635.40103","1700.584098","1810.467072","1900.962812","1982.516977","2056.179567","2218.906895","2339.645958","2240.609729","2202.114846","2364.614986","2493.85347","2539.512281","2455.243565","8385.243020405567","7983.021930596296","7792.015587406164","7717.628563270881","8187.446840579148","8185.625383835878","8523.800601619945","8661.303721543545","8888.187259815435","9025.092542657594","9074.228042364719","9102.4128118383","9107.401443292429","9131.536413074948","9275.62879780021","9396.080761739906","9590.448336400143","9773.532084965329","9838.050330071268","10023.19008771708","10151.066270069314","10242.321659804988","10328.774633304793","10527.769223904399","10893.277410328534","11065.663894606172","11134.327590518873","10774.010850167131","11071.61453499947","10975.213751525249","11194.780740367049","11310.835657940286","11462.623043119112","11601.972966793068","11721.425342150384","11936.202497782053","12024.609770049557","12132.602682833718","12187.64455670648","12352.1732738","11018.2845797","11674.3946818","12149.9729005","12463.2589115"
"INTL.4006-8-AFG-MMTCD.A","        Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98355","1.1","1.1","1.5","1.5","1.8","2","2.1","1.9","2","2","1.9","1.1","1","1","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.6","0.6","0.7","0.6","0.6096376005716212","0.7","5.2","6.1067998082019015","7.904472452590294","7.028628912867734","4.989296712867721","3.9414690271174107","4.912399561916772","3.654527768469","3.3029568522037414","4.320292","6.8146875","7.2639375","6.682375","6.4478125","6.827"
"INTL.4006-8-ALB-MMTCD.A","        Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.68327","6.4","6.2","6.3","6.2","6","5.9","5.3","4.9","4.3","3.2","2.7","3.2","2.5","2","2.2","1.8","1.8","2.2","2.8","3.1","3.4","3.6","4.1","4.2","4.5","4.4","2.931691361237335","4.2","2.6","3.324997881899636","3.4288065328305564","3.0847170139933486","3.5750986293409546","3.672343193180522","3.584554","3.816463","4.186072188274984","3.747185810218978","3.454309","2.7677793","3.2568416","3.5145459","2.733615"
"INTL.4006-8-DZA-MMTCD.A","        Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.62676","17","20","19","21","22","20","20","21","22","24","25","26","25","25","25","24","23","25","24","25","26","28","28","30","31","31","33.5190148167424","0","41","42.9051","45.654043","49.303305","52.176213","53.048467","59.268298","57.660778","55.136495","56.59476720000001","57.60585","51.923667","53.576496","56.156781","57.795"
"INTL.4006-8-ASM-MMTCD.A","        American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4250707079909395","0.4996074041521142","0.6964224421514319","0.4390489309215549","0.5009761915607501","0.46932816753683454","0.48446778584447436","0.503031549086549","0.48886951700063414","0.5483653074530108","0.5774416634147796","0.5774416634147796","0.5945482150816962","0.5783689681827054","0.5628784856089789","0.5473880030352523","0.5488792936545979","0.5628784856089789","0.5628784856089789","0.5628785621348409","0.5504208158890284","0.5504208158890297","0.5599298158890297","0.5599298158890297","0.559929815889029","0.5915502698612858","0.601936253876573","0.601936253876573","0.6035853942981527","0.601936253876573","0.601936253876573","0.35542766025567596","0.35640147462432703","0.35542766025567596","0.35542766025567596","0.35542766025567596","0.355427691701","0.3554276602528645","0.3554276602528645","0.356","0.34","0.386","0.39","0.389"
"INTL.4006-8-AGO-MMTCD.A","        Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87925","2.9","3","3.2","2.7","3.6","3.8","3.8","3.9","3.9","3.8","3.9","4.1","4","3.9","4.2","4","4.6","3.7","4.6","4.3","6.3","6.6","7","7.1","7.2","8.1","8.8","9.5","11","14.994773","15.824531","16.888822","19.313511","21.290396","21.394483","20.207678","17.555759","15.965489","16.7665035","12.1010182","14.5934494","16.6940697","17.21"
"INTL.4006-8-ATA-MMTCD.A","        Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14064","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.2","0.3","0.2","0.2","0.01435220662329516","0.014382064471704249","0.014342609920296033","0.014342885241616315","0.014228501312967068","0.014220979731334753","0.013782286568490414","0.013782286568490414","0.014","0.012","0.012","0.012","0.013"
"INTL.4006-8-ATG-MMTCD.A","        Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.40738","0.4","0.5","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.7","0.690569118967115","0.7","0.7","0.7","0.6900760943510734","0.7072170693937353","0.705863443141811","0.7193174128154632","0.751413","0.762758","0.7159053999909106","0.7348893999933047","0.7296106","0.7042989","0.7332989","0.7346106","0.7246106"
"INTL.4006-8-ARG-MMTCD.A","        Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.09574","68","66","67","65","58","67","69","66","60","57","58","59","67","61","59","64","67","71","73","70","64","58","63","63","69","71","68.16655185859841","78","80","98","96.03284994497102","100.31419542828901","100.94499542412532","101.02621607363832","118.285955","115.573158","95.440942928","90.161788088","94.7068976","74.3585723","98.1004283","101.9870503","102.998"
"INTL.4006-8-ARM-MMTCD.A","        Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","7.1","3.9","2.8","3.9","4.5","4.9","5.1","5.2","5.6","5.8","6.1","6.2","6.4","6.9","6.9","7.119146330156429","7.3","7","1.2368256082191784","1.1705790027397251","1.1781955903471564","1.0777227369863014","1.0768227041095892","1.001925","1.038209","1.142606","1.1025849999958193","1.2907656","1.6097966","1.7237158","1.863","1.934"
"INTL.4006-8-ABW-MMTCD.A","        Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","0.1","0.1","0.4","0.6","0.6","0.6","0.7","0.7","0.8","0.9","0.6","0.9","0.9","0.9","1","1","1","1","1","1","1.1","1.0241051121676976","1.1","1","1.1","0.9910917154462124","1.2590224873923892","1.1979820099077665","1.2134085156554812","1.221647","1.201636","1.251577000010333","1.2049308100031524","1.114","1.089","1.155","1.181","1.163"
"INTL.4006-8-AUS-MMTCD.A","        Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.60795631413785","72.77100461477656","73.52799110740756","71.23198363298391","83.256663","84.990861","84.808436","89.147608","91.800188","95.862236","96.59771756","94.74571012","95.581953024","98.738011928","102.874506832","104.856330832","107.692809912","109.163530704","110.122453992","113.381433472","113.314995376","114.73531728","117.3991998","120.434105416","122.72996132","124.886275224","126.985965088","130.179498856","132.13918724","133.42332172","138.324203816","143.278450856","147.922146088","150.209665184","148.432458184","147.752012992","147.0831638","155.192236088","157.80948712","155.25983","133.62966","136.86689","145.50394","154.34633"
"INTL.4006-8-AUT-MMTCD.A","        Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.46572961216148","29.047617143089163","27.97985322099012","26.676989720739414","26.592727","26.640411","27.675908","27.85741","27.027378","26.934838","29.255218","31.812761","30.726797","32.024242","31.406564","31.934549","34.874907","34.24778","36.271258","34.442731","33.890341","36.241926","37.025441","39.582134","40.245692284993694","41.723608284993695","41.15877252332913","40.02153052332913","39.11488852332913","36.8890572849937","38.28357328499369","36.231088761664566","35.268274","35.911745","34.85536176166457","35.130953761664564","35.720310761664564","36.233569","36.39614","37.10848","31.56362","33.3446","32.98795","33.03583"
