Report generated on: 03-21-2025 16:48:31
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","total energy production from coal (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4411-1-WORL-QBTU.A","    World","80.13993585720742","80.49984399775882","83.41680451705379","83.70551668010604","87.71181262502328","91.69861988416324","94.02717438093124","96.24705318933245","98.42161366443116","99.65835758221036","99.08155702133233","94.592771058","92.6555029085059","89.88727252006954","91.60894060516966","93.11002686265606","95.06906070292465","95.19968754222606","94.88017083506364","93.46379083172098","96.38139002563835","100.63896654022562","101.5076374307134","109.19184289102874","117.98426207547094","125.92607518444578","132.89298838371016","138.82383258357657","143.29310439489382","144.94781105668253","156.55912823717426","164.8489230544502","169.67892044460214","172.5145619443467","172.50318583274296","168.6703815782177","158.56750878914605","160.96451671300005","168.53709071102236","173.77447077263784","165.74087680348845","171.6376655478377","175.14011939682985","179.14110213434864"
"INTL.4411-1-AFG-QBTU.A","        Afghanistan","0.0023552858074806604","0.0024740397484436876","0.002869886158469484","0.002869886158469484","0.0029292630391745574","0.002988640099432511","0.0031667709211006113","0.003305317155631996","0.0027313399239380994","0.0025136243355804028","0.002078193338417891","0.0018604779296130752","0.0001583385280997425","0.00013854623453138476","0.00011875394096302701","0.00009896164739466925","0.000059376880705073264","0.00003958458713671551","0.00003958458713671551","0.000019792293568357753","0.000019792293568357753","0.0005146003509888235","0.00041563870359415426","0.0006927311726569238","0.000672938879088566","0.0006531464059673279","0.0006927311726569238","0.00480953326235599","0.006867934307205523","0.00989615899377475","0.01480097963007743","0.024333211354555677","0.03450090792859615","0.03692915660078549","0.04749493343160358","0.041546723390368134","0.04591059777312494","0.04129103711904956","0.05681967775455004","0.06026587952645854","0.035330691913004114","0.053968389317960455","0.09341676814168581","0.015151650473759527"
"INTL.4411-1-ALB-QBTU.A","        Albania","0.013229038633645784","0.014367221031874504","0.01585991934508173","0.01725932404545147","0.01875202227402413","0.020058133276921814","0.02021673252877048","0.019908863462528004","0.020375331695984582","0.02045929595600178","0.019321089690825508","0.010141006515657811","0.003414543132227009","0.0019964815035425684","0.0015766606266294115","0.00074634822562339","0.0010542168686930385","0.0003638447599914026","0.00045713828819432637","0.00045713828819432637","0.00027988058460877126","0.00019591640922613987","0.00013994029230438563","0.0005411024635769578","0.0005411024635769578","0.0004198208769131569","0.0004198208769131569","0.0004198208769131569","0.0005690905220378349","0.00009329352820292374","0.00009329352820292374","0.00004664676410146187","0.00006530546974204662","0.00008396417538263138","0.00015533371176268317","0.00022670324814273499","0.00013061093948409325","0.0004291502297334493","0.0009142765763886527","0.0011355555952106654","0.0011848278081771316","0.002246032362132569","0.00633362945220212","0.007460747578243574"
"INTL.4411-1-DZA-QBTU.A","        Algeria","0.0000759200610490114","0.00024041352665520277","0.00040490699226139416","0.0005694004578675855","0.0005757271296216698","0.0005820538013757541","0.00027837355717970846","0.00024041352665520277","0.0002530670997420472","0.00022776029793637214","0.0002720471150043","0.0003163339320722279","0.0003796007644024087","0.0005061344290627702","0.0005820538013757541","0.0005567478030954444","0.0003036807033533973","0.00027837355717970846","0.00013918700816853007","0.000022776224935511447","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-ASM-QBTU.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-AGO-QBTU.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-ATA-QBTU.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-ATG-QBTU.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-ARG-QBTU.A","        Argentina","0.008734744735581031","0.011153597123895844","0.011534342407241728","0.010884835747416492","0.011399961719002052","0.008958712549313932","0.008152428419875716","0.00835399945223531","0.011467152063121808","0.01151194562586842","0.006181511659026543","0.00653986016099912","0.00452414983740353","0.003762659270711845","0.007771683136529833","0.006831018318851778","0.00694300222571831","0.0056215921246944855","0.00649506659825267","0.007525318541423625","0.005800766375680774","0.004165801335431048","0.0021724864408498084","0.0020157103235956386","0.0020829006677154935","0.002150091011835348","0.0018813296353559295","0.0023516620441949116","0.0020381071049689215","0.0017021553843696484","0.0018029409005494304","0.0019037264167292125","0.002127694230462065","0.0017693457284895032","0.0012766165382772378","0.0007614905666916838","0.000515125971585559","0.0004412165930537055","0.000531085184388915","0.0004927291902122587","0.0004439724095711623","0.0006181462633813298","0.0006049182781594957","0.0005234263938415319"
"INTL.4411-1-ARM-QBTU.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.767406190885661e-7","6.767406190885661e-7"
"INTL.4411-1-ABW-QBTU.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-AUS-QBTU.A","        Australia","2.374452857660199","2.6993602239332963","2.733467786295587","3.0413593680251902","3.2443367684712454","3.497189795414207","3.7657588663344614","4.2471544436442565","3.917605371969816","4.177864620450539","4.388971135727658","4.724193839027076","4.91532635423866","4.925553312771925","4.867923919941199","5.248519105375773","5.3374222366495365","5.705907468209194","6.144159355832256","6.2286697322881315","6.627498468863471","7.170442350970473","7.40952089435826","7.393844208451547","7.612751574227414","8.107226710252219","8.200640473547212","8.647165317881532","8.693196848845425","9.000658537105165","9.954671594154563","9.471213342067172","9.930930249240726","10.77381220359591","11.580729081892217","12.094637947186355","11.819826819487108","11.809274948265157","11.590347770947275","12.160396164848693","11.888074023568503","11.062457492401183","10.973932748892391","10.477350933950216"
"INTL.4411-1-AUT-QBTU.A","        Austria","0.039374645894239155","0.04206833894668972","0.04531176527515061","0.04179347230868456","0.04024047580395541","0.04234320558469488","0.04080395241186598","0.03828892267411877","0.02925955361564927","0.028393723705933016","0.03364367649183157","0.028599873684436887","0.02433944079535691","0.023239974243336268","0.018814621371453195","0.01782510147463462","0.015227611745485857","0.015529965047291533","0.015667398366294112","0.01562616837059334","0.017165421543422234","0.01657445827171114","0.01940558464316429","0.01583231834909721","0.0032296829965606285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-AZE-QBTU.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-BHR-QBTU.A","        Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-BGD-QBTU.A","        Bangladesh","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00046603630647165336","0.0013488162162709958","0.0037162647859490324","0.0063260012929357125","0.008100622117686656","0.014134332921839859","0.01728689462227977","0.014718913899404875","0.013925554001280925","0.017433039866671024","0.017850597707788893","0.01977136377693109","0.014113455029783966","0.021337205681123097","0.024239232676892285","0.019270294367589647","0.019548666261668856","0.021211938328787736","0.021951943613880802","0.014739902126341402","0.015218765098290173"
"INTL.4411-1-BRB-QBTU.A","        Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-BLR-QBTU.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-BEL-QBTU.A","        Belgium","0.16883787499226188","0.16485287743078295","0.1743649691745491","0.1623703577815998","0.16793090986844417","0.16543284603697384","0.14884426530696518","0.11500249527257128","0.0638511408822014","0.0479055585219262","0.026217727748925272","0.016044439568357743","0.005516857769561495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-BLZ-QBTU.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
